,studentID,admissionstest,AP,averageAP,SATsubject,GPA,GPA_w,program,schooltype,female,MinorityGender,MinorityRace,international,sports,collegeID,earlyAppl,alumni,outofstate,acceptStatus,name,acceptrate,size,public,finAidPct,instatePct
0,S50C3UECT8,0.838908619364,7.0,1.06792747268,0.323653673689,-0.188103727196,0.0590724437829,Biomedical engineering,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,1.0,Rice,0.151,6621,0,0.0,0
1,GBWZQQRBEV,0.66699304555,7.0,0.66163752778,-0.440896777558,0.493061464568,0.398012133088,Classics,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
2,MXXLWO1HQ2,0.208551515377,0.0,,0.323653673689,0.395752151459,-1.03596347551,Biological Science,1.0,1.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
3,5KSL7C8SLZ,1.29735014954,7.0,0.864782500231,1.08820412494,0.103824212132,-0.384156380692,Physics,1.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
4,RQWLNGGZ49,0.32316189792,1.0,-0.354087334475,-0.440896777558,0.541716121123,,,1.0,0.0,0.0,0.0,0.0,0.0,Rice,1.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
6,CECT9K8GDY,0.724298236821,0.0,,-0.440896777558,0.29844283835,0.215506146539,Computer Science,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
7,9PM1B51CXG,-2.54209766566,3.0,-0.828092270194,-0.440896777558,-0.674650292741,-0.305939529314,,0.0,0.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
8,G14LB2SV7O,-0.0206692497087,7.0,-0.354087334475,-1.96999768005,0.493061464568,-0.983818907924,Business,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
9,PSBRN09QGH,-0.135279632252,4.0,0.00141636731402,-0.440896777558,0.784989403896,1.7798431741,Computer Science,0.0,0.0,0.0,0.0,0.0,0.0,Rice,1.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
10,38LACUT43X,0.838908619364,7.0,0.66163752778,-0.440896777558,0.103824212132,0.736951822392,Engineering,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
11,5R5M8Y8AK3,0.781603428093,5.0,0.783524511251,0.323653673689,-1.16119685829,-0.305939529314,Architecture,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
12,7P6ZSAI1XY,-1.68251979658,2.0,-1.77610214163,0.323653673689,0.00651489902251,-0.279867245522,Engineering,0.0,1.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
13,8OW25IMQ8Q,-0.0206692497087,2.0,-1.06509473805,0.323653673689,-0.771959605851,,Economics Int l Relations,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
15,BFFIVT4GM5,-0.765636736239,2.0,-1.77610214163,-1.96999768005,-0.188103727196,,Architecture,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
16,VITAIFPRD8,-0.536415971153,2.0,-0.354087334475,-1.2054472288,-1.16119685829,,,1.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
17,CRWFCR3RU6,-0.651026353696,0.0,,0.323653673689,-1.2585061714,-0.0452166913877,,0.0,1.0,0.0,1.0,0.0,0.0,Rice,1.0,0.0,0.0,1.0,Rice,0.151,6621,0,0.0,0
18,4Y3D5ETB32,-1.79713017913,0.0,,0.323653673689,0.29844283835,-1.60955371895,,1.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
